hole_uid,source_id,native_id,company,project,jurisdiction,lat,lon,easting,northing,utm_zone,utm_hemi,datum,elev_m,azimuth,dip,depth_m,year_drilled,has_assay,assay_flags,report_ref,url
gov:nb:87-021,gov:nb,87-021,,Yes,New Brunswick,45.84635357080978,-67.04134705014869,,,,,NAD83,,180.0,-45.0,221.89440000000002,1987.0,0,,473848,
gov:nb:87-025,gov:nb,87-025,,Yes,New Brunswick,45.845854188566236,-67.03850978614955,,,,,NAD83,,180.0,-45.0,118.872,1987.0,0,,473848,
gov:nb:87-024,gov:nb,87-024,,Yes,New Brunswick,45.84506225307073,-67.03854072541853,,,,,NAD83,,180.0,-45.0,121.92,1987.0,0,,473848,
gov:nb:88-002,gov:nb,88-002,,Yes,New Brunswick,45.84832261192143,-67.03975687086789,,,,,NAD83,,180.0,-76.0,457.80960000000005,1988.0,0,,473849,
gov:nb:88-003,gov:nb,88-003,,Yes,New Brunswick,45.84831827883761,-67.03687280969915,,,,,NAD83,,180.0,-77.0,457.2,1988.0,0,,473849,
gov:nb:87-012,gov:nb,87-012,,Yes,New Brunswick,45.84780670640261,-67.04416796753493,,,,,NAD83,,270.0,-45.0,121.92,1987.0,0,,473848,
gov:nb:73-006,gov:nb,73-006,,Yes,New Brunswick,45.85111767916833,-67.03280540921966,,,,,NAD83,,166.0,-57.0,97.6884,1974.0,0,,470194,
gov:nb:73-007,gov:nb,73-007,,Yes,New Brunswick,45.85111767916833,-67.03280540921966,,,,,NAD83,,,-90.0,24.6888,1974.0,0,,470194,
gov:nb:73-002,gov:nb,73-002,,Yes,New Brunswick,45.85108881558142,-67.03320427955796,,,,,NAD83,,166.0,-57.0,167.499792,1974.0,0,,470194,
gov:nb:73-003,gov:nb,73-003,,Yes,New Brunswick,45.85108881558142,-67.03320427955796,,,,,NAD83,,,-90.0,137.501376,1974.0,0,,470194,
gov:nb:73-004,gov:nb,73-004,,Yes,New Brunswick,45.85105095340667,-67.0336030629624,,,,,NAD83,,166.0,-57.0,105.799128,1974.0,0,,470194,
gov:nb:73-005,gov:nb,73-005,,Yes,New Brunswick,45.85105095340667,-67.0336030629624,,,,,NAD83,,,-90.0,125.900688,1974.0,0,,470194,
gov:nb:70-024,gov:nb,70-024,,Yes,New Brunswick,45.85089067543926,-67.03515947902068,,,,,NAD83,,166.0,-55.0,110.94720000000001,1970.0,0,,470192,
gov:nb:70-026,gov:nb,70-026,,Yes,New Brunswick,45.85089067543926,-67.03515947902068,,,,,NAD83,,166.0,-70.0,114.3,1970.0,0,,470192,
gov:nb:70-031,gov:nb,70-031,,Yes,New Brunswick,45.850853716397744,-67.03536513334684,,,,,NAD83,,166.0,-70.0,114.90960000000001,1970.0,0,,470192,
gov:nb:70-025,gov:nb,70-025,,Yes,New Brunswick,45.85081687833819,-67.0355450372427,,,,,NAD83,,166.0,-70.0,109.72800000000001,1970.0,0,,470192,
gov:nb:70-015,gov:nb,70-015,,Yes,New Brunswick,45.8508069708574,-67.03573807654217,,,,,NAD83,,166.0,-70.0,111.25200000000001,1970.0,0,,470192,
gov:nb:70-008,gov:nb,70-008,,Yes,New Brunswick,45.850502583474494,-67.03541324826911,,,,,NAD83,,166.0,-55.0,101.1936,1970.0,0,,470192,
gov:nb:70-009,gov:nb,70-009,,Yes,New Brunswick,45.850502583474494,-67.03541324826911,,,,,NAD83,,166.0,-70.0,99.06,1970.0,0,,470192,
gov:nb:70-018,gov:nb,70-018,,Yes,New Brunswick,45.850447811646376,-67.03558010233552,,,,,NAD83,,167.0,-55.0,89.91600000000001,1970.0,0,,470192,
gov:nb:70-019,gov:nb,70-019,,Yes,New Brunswick,45.850447811646376,-67.03558010233552,,,,,NAD83,,167.0,-70.0,99.9744,1970.0,0,,470192,
gov:nb:70-021,gov:nb,70-021,,Yes,New Brunswick,45.85041990973503,-67.03577296661855,,,,,NAD83,,167.0,-55.0,82.9056,1970.0,0,,470192,
gov:nb:70-022,gov:nb,70-022,,Yes,New Brunswick,45.85041990973503,-67.03577296661855,,,,,NAD83,,167.0,-70.0,88.39200000000001,1970.0,0,,470192,
